,Equal Weight,Fund X,BL Posterior
US_EQ,0.16666666666666666,0.3,0.0
EU_EQ,0.16666666666666666,0.2,0.0788
EM_EQ,0.16666666666666666,0.0,0.0
IG,0.16666666666666666,0.3,0.0
TIPS,0.16666666666666666,0.0,0.4212
CMDTY,0.16666666666666666,0.2,0.5
