title,prob
Iran-Israel/US conflict ends by Dec 2026,24.0
Iran nuclear deal signed by Dec 2026,13.0
US-Iran formal ceasefire by Jun 2026,11.0
Strait of Hormuz blockade by Sep 2026,9.0
Iranian regime change by Dec 2026,5.0
