Date,AUDUSD=X,CADUSD=X,NOKUSD=X,ZARUSD=X,KRWUSD=X,IDRUSD=X,THBUSD=X,INRUSD=X,PHPUSD=X,ZC=F,ZW=F,ZS=F,BZ=F,GC=F,CL=F,GLD,GSG,^GSPC,TLT,^TNX,IVV,VGK,EEM,LQD,TIP,PDBC,EUAD,CF,NTR,MOS,ICL,DE,AGCO,KHC,GIS,CPB,EWZ,EWW
2020-01-01 00:00:00+00:00,0.7017002105712891,0.7691124677658081,0.11965858936309814,0.07144949585199356,0.0008667389047332108,7.304403698071837e-05,0.03369272127747536,0.01403000671416521,0.019723866134881973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 00:00:00+00:00,0.7019514441490173,0.7708317637443542,0.11402547359466553,0.07141367346048355,0.0008665736531838775,7.305011968128383e-05,0.03326680138707161,0.014079549349844456,0.019723866134881973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 05:00:00+00:00,0.7019514441490173,0.7708317637443542,0.11402547359466553,0.07141367346048355,0.0008665736531838775,7.305011968128383e-05,0.03326680138707161,0.014079549349844456,0.019723866134881973,391.5,560.25,944.25,66.25,1524.5,61.18000030517578,143.9499969482422,16.290000915527344,3257.85009765625,114.16647338867188,,297.2492980957031,48.42374038696289,40.08706283569336,102.5811996459961,95.39781951904297,8.430121421813965,,39.8377799987793,38.48212432861328,18.910646438598633,3.6565682888031006,162.41236877441406,65.05719757080078,23.362871170043945,41.103431701660156,38.41626739501953,31.97264289855957,38.98823165893555
2020-01-02 06:00:00+00:00,0.7019514441490173,0.7708317637443542,0.11402547359466553,0.07141367346048355,0.0008665736531838775,7.305011968128383e-05,0.03326680138707161,0.014079549349844456,0.019723866134881973,391.5,560.25,944.25,66.25,1524.5,61.18000030517578,143.9499969482422,16.290000915527344,3257.85009765625,114.16647338867188,1.8819999694824219,297.2492980957031,48.42374038696289,40.08706283569336,102.5811996459961,95.39781951904297,8.430121421813965,,39.8377799987793,38.48212432861328,18.910646438598633,3.6565682888031006,162.41236877441406,65.05719757080078,23.362871170043945,41.103431701660156,38.41626739501953,31.97264289855957,38.98823165893555
2020-01-03 00:00:00+00:00,0.6985191702842712,0.7702379822731018,0.11375398933887482,0.07103281468153,0.0008641922031529248,7.202127744676545e-05,0.03317850083112717,0.014002660289406776,0.01976144127547741,391.5,560.25,944.25,66.25,1524.5,61.18000030517578,143.9499969482422,16.290000915527344,3257.85009765625,114.16647338867188,1.8819999694824219,297.2492980957031,48.42374038696289,40.08706283569336,102.5811996459961,95.39781951904297,8.430121421813965,,39.8377799987793,38.48212432861328,18.910646438598633,3.6565682888031006,162.41236877441406,65.05719757080078,23.362871170043945,41.103431701660156,38.41626739501953,31.97264289855957,38.98823165893555
2020-01-03 05:00:00+00:00,0.6985191702842712,0.7702379822731018,0.11375398933887482,0.07103281468153,0.0008641922031529248,7.202127744676545e-05,0.03317850083112717,0.014002660289406776,0.01976144127547741,386.5,554.5,930.5,68.5999984741211,1549.199951171875,63.04999923706055,145.86000061035156,16.510000228881836,3234.85009765625,115.92467498779297,1.8819999694824219,294.96295166015625,47.81731033325195,39.3427619934082,102.93317413330078,95.83760833740234,8.50104808807373,,39.56303024291992,38.09185791015625,18.319408416748047,3.5499191284179688,161.20938110351562,64.15892791748047,23.08940315246582,40.953617095947266,38.36873245239258,31.69525718688965,38.701683044433594
2020-01-03 06:00:00+00:00,0.6985191702842712,0.7702379822731018,0.11375398933887482,0.07103281468153,0.0008641922031529248,7.202127744676545e-05,0.03317850083112717,0.014002660289406776,0.01976144127547741,386.5,554.5,930.5,68.5999984741211,1549.199951171875,63.04999923706055,145.86000061035156,16.510000228881836,3234.85009765625,115.92467498779297,1.7879999876022339,294.96295166015625,47.81731033325195,39.3427619934082,102.93317413330078,95.83760833740234,8.50104808807373,,39.56303024291992,38.09185791015625,18.319408416748047,3.5499191284179688,161.20938110351562,64.15892791748047,23.08940315246582,40.953617095947266,38.36873245239258,31.69525718688965,38.701683044433594
2020-01-06 00:00:00+00:00,0.694420337677002,0.7700244784355164,0.11319644004106522,0.0698409378528595,0.0008577433181926608,7.176527287811041e-05,0.033174097537994385,0.013940973207354546,0.019582116976380348,386.5,554.5,930.5,68.5999984741211,1549.199951171875,63.04999923706055,145.86000061035156,16.510000228881836,3234.85009765625,115.92467498779297,1.7879999876022339,294.96295166015625,47.81731033325195,39.3427619934082,102.93317413330078,95.83760833740234,8.50104808807373,,39.56303024291992,38.09185791015625,18.319408416748047,3.5499191284179688,161.20938110351562,64.15892791748047,23.08940315246582,40.953617095947266,38.36873245239258,31.69525718688965,38.701683044433594
2020-01-06 05:00:00+00:00,0.694420337677002,0.7700244784355164,0.11319644004106522,0.0698409378528595,0.0008577433181926608,7.176527287811041e-05,0.033174097537994385,0.013940973207354546,0.019582116976380348,384.75,550.0,932.75,68.91000366210938,1566.199951171875,63.27000045776367,147.38999938964844,16.510000228881836,3246.280029296875,115.26644134521484,1.7879999876022339,296.12884521484375,47.99760818481445,39.246437072753906,102.58918762207031,95.59326171875,8.51117992401123,,39.49433517456055,38.449607849121094,18.319408416748047,3.57277250289917,162.3664093017578,63.526824951171875,23.141141891479492,41.46612548828125,38.43210220336914,31.20651626586914,38.87866973876953
2020-01-06 06:00:00+00:00,0.694420337677002,0.7700244784355164,0.11319644004106522,0.0698409378528595,0.0008577433181926608,7.176527287811041e-05,0.033174097537994385,0.013940973207354546,0.019582116976380348,384.75,550.0,932.75,68.91000366210938,1566.199951171875,63.27000045776367,147.38999938964844,16.510000228881836,3246.280029296875,115.26644134521484,1.8109999895095825,296.12884521484375,47.99760818481445,39.246437072753906,102.58918762207031,95.59326171875,8.51117992401123,,39.49433517456055,38.449607849121094,18.319408416748047,3.57277250289917,162.3664093017578,63.526824951171875,23.141141891479492,41.46612548828125,38.43210220336914,31.20651626586914,38.87866973876953
